,park_name,act_name
50,Brices Cross Roads National Battlefield Site,['Guided Tours']
51,Brown v. Board of Education National Historical Park,"['Museum Exhibits', 'Park Film', 'Shopping']"
52,Bryce Canyon National Park,"['Astronomy', 'Biking', 'Camping', 'Food', 'Guided Tours', 'Hiking', 'Horse Trekking', 'Junior Ranger Program', 'Museum Exhibits', 'Park Film', 'Shopping', 'Skiing', 'Snowshoeing', 'Wildlife Watching']"
53,Buck Island Reef National Monument,"['Boating', 'Hiking', 'Paddling', 'SCUBA Diving', 'Snorkeling', 'Swimming', 'Wildlife Watching']"
54,Buffalo National River,"['Camping', 'Caving', 'Fishing', 'Food', 'Guided Tours', 'Hiking', 'Horse Trekking', 'Hunting and Gathering', 'Junior Ranger Program', 'Paddling', 'Wildlife Watching']"
55,Cabrillo National Monument,"['Biking', 'Hiking', 'Junior Ranger Program', 'Living History', 'Museum Exhibits', 'Park Film', 'Shopping', 'Wildlife Watching']"
56,California National Historic Trail,"['Auto and ATV', 'Guided Tours', 'Hiking', 'Horse Trekking', 'Museum Exhibits']"
57,Camp Nelson National Monument,"['Hiking', 'Junior Ranger Program', 'Museum Exhibits', 'Park Film']"
58,Canaveral National Seashore,"['Boating', 'Camping', 'Fishing', 'Guided Tours', 'Hiking', 'Horse Trekking', 'Junior Ranger Program', 'Museum Exhibits', 'Paddling', 'Park Film', 'Shopping', 'Surfing', 'Swimming', 'Wildlife Watching']"
59,Cane River Creole National Historical Park,"['Arts and Culture', 'Food', 'Guided Tours', 'Junior Ranger Program']"
60,Canyon de Chelly National Monument,"['Auto and ATV', 'Camping', 'Guided Tours', 'Hiking', 'Junior Ranger Program', 'Shopping']"
61,Canyonlands National Park,"['Astronomy', 'Biking', 'Boating', 'Camping', 'Climbing', 'Guided Tours', 'Hiking', 'Horse Trekking', 'Junior Ranger Program', 'Paddling', 'Park Film', 'Shopping']"
62,Cape Cod National Seashore,"['Auto and ATV', 'Biking', 'Camping', 'Fishing', 'Golfing', 'Guided Tours', 'Hiking', 'Hunting and Gathering', 'Junior Ranger Program', 'Museum Exhibits', 'Paddling', 'Park Film', 'Shopping', 'Skiing', 'Snowshoeing', 'Surfing', 'Swimming', 'Wildlife Watching']"
63,Cape Hatteras National Seashore,"['Astronomy', 'Auto and ATV', 'Camping', 'Fishing', 'Food', 'Hiking', 'Hunting and Gathering', 'Junior Ranger Program', 'Museum Exhibits', 'Paddling', 'Shopping', 'Snorkeling', 'Surfing', 'Swimming', 'Wildlife Watching']"
64,Cape Henry Memorial Part of Colonial National Historical Park,['Guided Tours']
65,Cape Krusenstern National Monument,"['Camping', 'Flying', 'Hands-On', 'Hiking', 'Junior Ranger Program', 'Museum Exhibits', 'Shopping', 'Wildlife Watching']"
66,Cape Lookout National Seashore,"['Auto and ATV', 'Boating', 'Camping', 'Fishing', 'Hunting and Gathering', 'Junior Ranger Program', 'Paddling', 'Shopping', 'Swimming', 'Wildlife Watching']"
67,Capitol Hill Parks,"['Arts and Culture', 'Biking', 'Flying', 'Food', 'Guided Tours', 'Junior Ranger Program', 'Playground']"
